,Date,Price,Open,High,Low,Vol.,Change %
1505,03/25/2004,106.16,106.17,106.48,105.72,,-0.07%
1506,03/24/2004,106.23,106.75,106.98,106.01,,-0.52%
1507,03/23/2004,106.78,106.83,106.98,106.42,,-0.07%
1508,03/22/2004,106.85,106.76,107.68,106.7,,0.09%
1509,03/19/2004,106.75,106.83,107.35,106.58,,0.01%
1510,03/18/2004,106.74,108.24,108.39,106.36,,-1.38%
1511,03/17/2004,108.23,108.73,109.0,107.92,,-0.65%
1512,03/16/2004,108.94,110.29,110.4,108.59,,-1.24%
1513,03/15/2004,110.31,110.69,111.07,109.16,,-0.51%
1514,03/12/2004,110.88,110.75,111.42,110.55,,0.01%
1515,03/11/2004,110.87,110.77,111.14,110.42,,0.09%
1516,03/10/2004,110.77,111.27,111.58,110.69,,-0.49%
1517,03/09/2004,111.31,111.17,111.65,110.19,,0.10%
1518,03/08/2004,111.2,112.06,112.37,111.08,,-0.76%
1519,03/05/2004,112.05,111.09,112.32,110.96,,0.90%
1520,03/04/2004,111.05,110.03,111.17,110.0,,0.92%
1521,03/03/2004,110.04,110.06,110.51,109.97,,-0.07%
1522,03/02/2004,110.12,108.93,110.45,108.89,,1.01%
1523,03/01/2004,109.02,109.05,109.44,108.86,,-0.04%
1524,02/27/2004,109.06,109.56,109.72,108.86,,-0.52%
1525,02/26/2004,109.63,108.97,109.86,108.73,,0.51%
1526,02/25/2004,109.07,108.19,109.15,108.0,,0.79%
1527,02/24/2004,108.21,108.33,108.77,108.03,,-0.18%
1528,02/23/2004,108.4,108.98,109.4,108.04,,-0.57%
1529,02/20/2004,109.02,107.01,109.34,106.84,,1.77%
1530,02/19/2004,107.12,106.61,107.46,106.28,,0.33%
1531,02/18/2004,106.77,105.65,107.15,105.47,,1.04%
1532,02/17/2004,105.67,105.46,106.04,105.4,,0.20%
1533,02/16/2004,105.46,105.5,105.54,105.35,,-0.04%
1534,02/13/2004,105.5,105.36,105.62,105.28,,0.09%
1535,02/12/2004,105.41,105.43,105.58,105.25,,0.07%
1536,02/11/2004,105.34,105.57,105.73,105.14,,-0.17%
1537,02/10/2004,105.52,105.62,105.91,105.29,,-0.11%
1538,02/09/2004,105.64,105.76,105.97,105.48,,0.02%
1539,02/06/2004,105.62,105.82,106.82,105.36,,-0.25%
1540,02/05/2004,105.89,105.4,106.06,105.35,,0.43%
1541,02/04/2004,105.44,105.48,105.67,105.28,,-0.08%
1542,02/03/2004,105.52,105.53,105.85,105.2,,-0.07%
1543,02/02/2004,105.59,105.59,105.83,105.36,,-0.15%
1544,01/30/2004,105.75,105.91,106.16,105.6,,-0.18%
1545,01/29/2004,105.94,106.1,106.34,105.6,,-0.17%
1546,01/28/2004,106.12,105.62,106.64,105.46,,0.47%
1547,01/27/2004,105.62,106.34,106.42,105.42,,-0.66%
1548,01/26/2004,106.32,106.6,106.75,105.77,,-0.38%
1549,01/23/2004,106.73,106.8,106.83,106.7,,0.61%
1550,01/22/2004,106.08,106.91,107.04,105.9,,-0.83%
1551,01/21/2004,106.97,107.07,107.31,106.57,,-0.06%
1552,01/20/2004,107.03,107.22,107.93,106.93,,-0.21%
1553,01/19/2004,107.25,106.62,107.52,106.44,,0.56%
1554,01/16/2004,106.65,106.34,107.01,105.69,,0.26%
1555,01/15/2004,106.37,106.17,106.53,105.97,,0.08%
1556,01/14/2004,106.29,106.19,106.37,105.92,,0.06%
1557,01/13/2004,106.23,106.64,106.74,106.07,,-0.45%
1558,01/12/2004,106.71,106.64,106.77,106.35,,0.09%
1559,01/09/2004,106.61,106.13,108.27,106.11,,0.40%
1560,01/08/2004,106.19,106.15,106.26,106.08,,-0.04%
1561,01/07/2004,106.23,106.17,106.45,105.88,,0.02%
1562,01/06/2004,106.21,106.26,106.43,106.03,,-0.06%
1563,01/05/2004,106.27,107.04,107.39,106.01,,-0.74%
1564,01/02/2004,107.06,107.43,107.53,106.63,,-0.38%
1565,01/01/2004,107.47,107.26,107.48,107.14,,0.09%
1566,12/31/2003,107.37,107.0,107.78,106.82,,0.28%
1567,12/30/2003,107.07,107.1,107.16,106.86,,-0.03%
1568,12/29/2003,107.1,107.33,107.41,106.83,,-0.36%
1569,12/26/2003,107.49,107.21,107.53,106.9,,0.22%
1570,12/25/2003,107.25,107.35,107.39,107.08,,-0.09%
1571,12/24/2003,107.35,107.38,107.59,107.09,,-0.06%
1572,12/23/2003,107.41,107.51,107.59,107.23,,-0.14%
1573,12/22/2003,107.56,107.64,107.97,107.25,,-0.23%
1574,12/19/2003,107.81,107.63,108.03,107.5,,0.25%
1575,12/18/2003,107.54,107.38,108.14,107.3,,0.04%
1576,12/17/2003,107.5,107.48,107.88,107.19,,-0.04%
1577,12/16/2003,107.54,107.61,107.87,107.35,,-0.11%
1578,12/15/2003,107.66,108.31,108.4,107.33,,-0.08%
1579,12/12/2003,107.75,107.95,108.09,107.61,,-0.29%
1580,12/11/2003,108.06,108.37,108.48,107.9,,-0.18%
1581,12/10/2003,108.26,106.99,108.76,106.99,,1.21%
1582,12/09/2003,106.97,107.36,107.61,106.75,,-0.34%
1583,12/08/2003,107.33,107.64,107.8,107.08,,-0.33%
1584,12/05/2003,107.69,108.19,108.41,107.5,,-0.50%
1585,12/04/2003,108.23,108.24,108.52,107.92,,0.01%
1586,12/03/2003,108.22,108.6,108.83,108.08,,-0.33%
1587,12/02/2003,108.58,109.39,109.85,108.55,,-0.78%
1588,12/01/2003,109.43,109.66,110.04,109.05,,-0.18%
